editor,issue_date,price,test,title,url
Jambo,2017-12-04,25.00,"Segunda 04 Dezembro, 2017",P.O.V. – Point of View (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30796
Jambo,2017-12-04,55.00,"Segunda 04 Dezembro, 2017",Ninjak – Volume 1 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30795
Mythos,2017-12-04,34.90,"Segunda 04 Dezembro, 2017",Os devoradores de vidas,http://www.comix.com.br/product_info.php?products_id=30794
Mythos,2017-12-04,69.90,"Segunda 04 Dezembro, 2017",Conan a Lenda e a Invencível Sonja - Vol 2,http://www.comix.com.br/product_info.php?products_id=30793
Mythos,2017-12-04,54.90,"Segunda 04 Dezembro, 2017",Red Sonja e Conan – Sangue Divino (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30792
Astral Comics,2017-12-04,34.90,"Segunda 04 Dezembro, 2017",Realezas Urbanas (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30791
Astral Comics,2017-12-04,59.90,"Segunda 04 Dezembro, 2017",Imobiliária Sobrenatural (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30790
Panini,2017-12-04,28.50,"Segunda 04 Dezembro, 2017",Combo Guerras Secretas Deadpool,http://www.comix.com.br/product_info.php?products_id=30660
Martins Fontes,2017-12-02,39.90,"Sábado 02 Dezembro, 2017",The Witcher Senhora do Lago  Vol 2 (Capa Game),http://www.comix.com.br/product_info.php?products_id=30789
Martins Fontes,2017-12-02,39.90,"Sábado 02 Dezembro, 2017",The Witcher Senhora do Lago Vol 2 (Clássica),http://www.comix.com.br/product_info.php?products_id=30788
NewPOP Editora,2017-12-02,16.00,"Sábado 02 Dezembro, 2017",A Voz do Silêncio vol. 4 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30787
NewPOP Editora,2017-12-02,23.90,"Sábado 02 Dezembro, 2017",GTO vol. 4 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30786
NewPOP Editora,2017-12-02,26.90,"Sábado 02 Dezembro, 2017",Re:Zero –Livro 02 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30785
NewPOP Editora,2017-12-02,24.90,"Sábado 02 Dezembro, 2017",No Game No Life Vol. 09 (Livro) (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30784
Panini,2017-12-02,9.40,"Sábado 02 Dezembro, 2017",O Espetacular Homem Aranha nº 13 (Nova Revista Mensal) (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30783
Record,2017-11-29,39.90,"Quarta 29 Novembro, 2017",O Diário de Anne Frank em Quadrinhos,http://www.comix.com.br/product_info.php?products_id=30752
Veneta,2017-11-29,49.90,"Quarta 29 Novembro, 2017",O Livro da Lei: Liber Al Vel Legis,http://www.comix.com.br/product_info.php?products_id=30751
Devir,2017-11-29,56.00,"Quarta 29 Novembro, 2017",The Boys - Volume 6: A Sociedade Da Autopreservação,http://www.comix.com.br/product_info.php?products_id=30750
Devir,2017-11-29,39.90,"Quarta 29 Novembro, 2017",Valdisnei Um Dois Tres Quatro Da Silva,http://www.comix.com.br/product_info.php?products_id=30749
Devir,2017-11-29,68.00,"Quarta 29 Novembro, 2017",Criminosos do Sexo - Vol. 03,http://www.comix.com.br/product_info.php?products_id=30748
Panini,2017-11-29,15.00,"Quarta 29 Novembro, 2017",Super Almanaque da Mônica nº  02,http://www.comix.com.br/product_info.php?products_id=30747
Panini,2017-11-28,125.00,"Terça 28 Novembro, 2017",Multiverso,http://www.comix.com.br/product_info.php?products_id=30746
Panini,2017-11-28,120.00,"Terça 28 Novembro, 2017",Homem Aranha Antologia,http://www.comix.com.br/product_info.php?products_id=30745
Shockdom Editora,2017-11-28,55.00,"Terça 28 Novembro, 2017",Rio 2031,http://www.comix.com.br/product_info.php?products_id=30744
Panini,2017-11-24,18.20,"Sexta 24 Novembro, 2017",Deadpool Extra nº 09 (Nova Serie),http://www.comix.com.br/product_info.php?products_id=30720
Shockdom Editora,2017-11-28,45.00,"Terça 28 Novembro, 2017",Razão vs Emoção,http://www.comix.com.br/product_info.php?products_id=30743
Shockdom Editora,2017-11-28,40.00,"Terça 28 Novembro, 2017",Jovem Adulto,http://www.comix.com.br/product_info.php?products_id=30742
Panini,2017-11-27,110.00,"Segunda 27 Novembro, 2017",Watchmen - Edição Definitiva (Reimpressão),http://www.comix.com.br/product_info.php?products_id=30741
Panini,2017-11-27,79.00,"Segunda 27 Novembro, 2017",Y: O Último Homem - Edição de Luxo Vol. 04,http://www.comix.com.br/product_info.php?products_id=30740
Panini,2017-11-27,50.00,"Segunda 27 Novembro, 2017",Vampiro Americano Vol. 7,http://www.comix.com.br/product_info.php?products_id=30739
Panini,2017-11-27,14.90,"Segunda 27 Novembro, 2017",The Seven Deadly Sins nº 26,http://www.comix.com.br/product_info.php?products_id=30738
Editora Nemo,2017-11-24,49.80,"Sexta 24 Novembro, 2017",Kobane Calling,http://www.comix.com.br/product_info.php?products_id=30719
Panini,2017-11-24,18.20,"Sexta 24 Novembro, 2017",Universo Marvel: Totalmente Diferente Nova Marvel Vol 13,http://www.comix.com.br/product_info.php?products_id=30718
Panini,2017-11-24,9.60,"Sexta 24 Novembro, 2017",Star Wars nº 24,http://www.comix.com.br/product_info.php?products_id=30717
